ID	colors	Folio	Scholia	Number or attribution	Biblical verse	Number of scholia per biblical verse	Identification	Notes
1	Orange	3r	1	α´	Rom 1:1 (I)	1	Unattributed 	
2		3r	1Ph	Φωτ(ίου)	Rom 1:1 (I)	2	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 470 (Rom 1:1)	
3		3r	2	β´	Rom 1:1 (II)	3	Unattributed	
4		3r	3	γ´	Rom 1:1 (III)	4	Unattributed	
5		3r	4	δ´	Rom 1:1 (IV)	5	Unattributed	
6		3r	5	ε´	Rom 1:1 (V) 	6	Unattributed	
7		3r	5Ph	Φωτ(ίου) and sign 	Rom 1:1 (VI) 	7	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 470, (Rom 1:2)	
8		3r	6	ϛ´	Rom 1:1 (VI)	8	Unattributed	
9	Orange	3r	7	ζ´	Rom 1:2  	1	Unattributed	
10	Orange	3r	7Ph	Sign	Rom 1:3 (I)	1	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 470, 15-17 	
11		3r	8	η´ 	Rom 1:3 (II) 	2	Unattributed	
12	Orange	3r	9	θ´	Rom 1:4 (I) 	1	Unattributed	
13		3r	9Ph	Φωτ(ίου) and sign 	Rom 1:4 (I) 	2	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 470, 18–27, 471, 1–11	
14		3v	10	ι´	Rom 1:4 (II) 	3	Unattributed	
15		3v	11	ια´	Rom 1:4 (III)	4	Unattributed	
16		3v	12	ιβ´	Rom 1:4 (IV)	5	Unattributed	
17	Orange	3v	12Ph	Φωτ(ίου) and sign 	Rom 1:5 (I)	1	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 471, 12–14	
18		3v	13	ιγ´	Rom 1:5 (Ia)	2	Unattributed	
19		3v	14	ιδ´	Rom 1:5 (Ib)	3	Unattributed	
20		3v	14Ph	Φωτ(ίου)	Rom 1:5 (II)	4	Phot., fr. Rom. (CPG C165.3); Staab, 1933, 471, 15–19	
21		3v	15	ιε´	Rom 1:5 (II)	5	Unattributed	
22		3v	16	ιϛ´	Rom 1:5 (III)	6	Unattributed	
23		3v	17	ιζ´	Rom 1:5 (IV)	7	Unattributed	
24	Orange	3v	18	ιη´	Rom 1:6	1	Unattributed	
25	Orange	3v	19	ιθ´	Rom 1:7 (I)	1	Unattributed	
26		3v	20	κ´	Rom 1:7 (II)	2	Unattributed	
27		3v	21	κα´ 	Rom 1:7 (III)	3	Unattributed	
28		3v	21Pha	Φωτ(ίου) and sign 	Rom 1:7 (III)	4	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 471, 27–31	
29		3v	21Phb	Φωτ(ίου) and sign 	Rom 1:7 (IV)	5	Phot., fr. Rom. (CPG C165.3): Staab, 1933, 471, 20–26	
30		4r	22	κβ´	Rom 1:7 (V)	6	Unattributed	
31		4r	23	κγ´	Rom 1:7 (VI)	7	Unattributed	
32	Orange	4r	24	κδ´	Rom 1:8 (I)	1	Unattributed	
33		4r	25	κε´ 	Rom 1:8 (II)	2	Unattributed	
34		4r	26	κϛ´	Rom 1:8 (III)	3	Unattributed	
35		4r	27	κζ´	Rom 1:8 (IV)	4	Unattributed	
36	Orange	4r	28	κη´	Rom 1:9 (I)	1	Unattributed	
37		4r	29	κθ´	Rom 1:9 (II)	2	Unattributed	
38		4r	30	λ´	Rom 1:9 (III)	3	Unattributed	
39		4r	31	λα´ 	Rom 1:9 (IV)	4	Unattributed	
40	Orange	4r	32	λβ´	Rom 1:9–10 	1	Unattributed	
