Unit	Page	Verses	Attributions	Biblical	Comment
1	3r	Rom.1.1	α  	Παῦλος 	Τὸ ἀποῦσι γράφειν αἴτιον τοῦ κεῖσθαι αὐτοῦ τὸ ὄνομα διὰ τοῦτο δὲ ἀπὸ Σαύλου εἰς Παῦλον μετετέθη ἵνα μὴ δὲ ἐν τοῦτω ἔλαττον τι ἔχοι τοῦ κορυφαίου Πέτρου 
1Ph	3r	Rom.1.1	Φωτ(ιου)  s 	Παῦλος 	Προέταξε τὸ Παῦλος μηδὲ διαίρειν στόμα ἄνευ τοῦ μεμνῆσθαι τῆς δεσποτικῆς εὐεργεσίας βουλόμενος οἷον Παῦλος φησὶν ὁ καὶ αὐτὴν τὴν κλῆσιν ἐξ εὐεργεσίας ἐκ χάριτος ἐκ φιλοτιμίας ἔχων δεσποτικῆς Παῦλος ὁ πάντα φέρων ἀπὸ τοῦ Χριστοῦ τὴν κλῆσιν τὴν χάριν τὴν πολιτείαν ∆οῦλος αὐτῷ γὰρ ὅλος πέπραμαι ἐλευθερωθεὶς ἀπὸ τοῦ νόμου καὶ τῆς ἁμαρτίας δοῦλος τοῦτο μου τὸ ἀξίωμα ἀπὸ τούτου βούλομαι πᾶσι γνωρίζεσθαι οἱ μὲν ἐν κόσμῳ ἀναστρεφομενοι ἀπὸ τῶν ἐν κόσμῳ ἀξιωμάτων δηλοῦσθαι βούλονται ὑπάτους ἑαυτοὺς καὶ στρατηγοὺς ἀναγράφοντες Παύλῳ δὲ ἀρκεῖ εἰς μέγεθος ἀξιώματος τὸ δοῦλος εἶναι Χριστοῦ 
2	3r	Rom.1.1	β  	δοῦλος 	πολλοὶ δουλείας τρόποι καὶ πάντας ἔσχεν ὁ Παῦλος εἰς ὁ τῆς δημιουργίας εἰς ὁ τῆς πίστεως ἂλλ ὁ τῆς ἀποστολῆς 
3	3r	Rom.1.1	γ  	Ἰησοῦ Χριστοῦ 	Τὸ Ιησυς τὸ ἀνθρώπινον δηλοῖ τὴν δὲ τοῦ πνεύματος χρίσιν τὸ Χρτιστος 
4	3r	Rom.1.1	δ  	κλητὸς ἀπόστολος 	ευγνωμονως ὁμολογεῖ ὅτι οὐχ ἑκὼν προσῆλθεν ἀλλὰ κληθεὶς κληθεὶς δὲ οὐκ εἰς πίστιν μόνην ἀλλὰ καὶ εἰς ἀποστολήν 
5	3r	Rom.1.1	ε  	ἀφωρισμένος 	Άλλος μέν φησιν ἐν ἄλλοις ἐγὼ δὲ εἰς εὐαγγέλιον ἀφώρισμαι 
5Ph	3r	Rom.1.1	Φωτ(ιου)  s 	εἰς εὐαγγέλιον θεοῦ 	Εὐαγγέλιον θεοῦ ὅτι θεὸν εὐηγγελίζετο θεὸς γὰρ ὁ Χριστὸς ὃν ὁ Παῦλος εὐηγγελίζετο μᾶλλον δὲ θεοῦ τοῦ πατρὸς λέγει οὗτος γὰρ διὰ τῶν προφητῶν αὐτοῦ περὶ τοῦ ἀληθῶς υἱοῦ αὐτοῦ ἐλάλησεν 
6	3r	Rom.1.1	ϛ  	εἰς εὐαγγέλιον θεοῦ 	θεὸν γὰρ ὄντα τὸν Χριστὸν εὐηγγελίζετο τὸν γὰρ πατηρα προηιδεσαν ἐκ τῆς παλαιᾶς οὐδὲν δέ φησιν ἐρῶ σκυθρωπὸν ὡς οἱ προφῆται ἂλλ εὐαγγελίζομαι θεὸν ἐνηνθρωπηκότα 
7	3r	Rom.1.2	ζ  	ὁ προεπηγγείλατο διὰ τὴν προφητῶν αὐτοῦ ἐν γραφαῖς ἁγίαις 	Μηδείς φησι καινοτομεῖν με νομίσηι πάλαι ἐπήγγελτο τοῦτο τὸ Εὐαγγέλιον τὸ δὲ ἐν Γραφαῖς δηλοῖ ὅτι οὐ μόνον ἔλεγον οἱ προφῆται ἀλλὰ καὶ ἔγραφον 
7Ph	3r	Rom.1.3	 s 	περὶ τοῦ υἱοῦ αὐτοῦ τοῦ γενομένου ἐκ σπέρματος Δαυίδ 	οὐκ εἶπεν περὶ υἱοῦ αὐτοῦ ἀλλὰ τοῦ υἱοῦ αὐτοῦ τὸν φύσει καὶ ένα καὶ κυρίως υἱῶν καὶ μονογενῆ δηλῶν 
